State,Crime Rate,Health Facilities,Police Presence,Hospital Access,Road Condition,Recent Incidents,Risk Level
Ogun,7958,3170,4,5,3,18,High
Cross River,13391,3433,4,4,3,19,High
Ekiti,8938,2294,3,4,2,3,Medium
Anambra,5107,2204,4,2,2,0,Low
Anambra,13088,416,1,1,4,5,High
Ekiti,10905,2982,3,3,2,19,High
Katsina,2578,3313,1,4,5,14,Medium
Benue,5809,2911,4,5,4,8,Low
Kaduna,6629,2414,5,1,1,13,High
Osun,2951,1771,4,4,3,14,Medium
Gombe,1589,334,2,3,5,5,Low
Imo,8056,750,3,4,4,3,Low
Kano,12059,2209,5,5,5,15,High
Imo,10211,840,5,4,1,8,Medium
Imo,10683,1747,5,3,3,10,Medium
Adamawa,1461,2618,1,3,2,11,Medium
Niger,13157,2591,1,4,3,3,Medium
Enugu,6654,1663,4,1,3,7,Medium
Borno,4844,2854,3,1,5,2,Low
Ondo,5995,668,3,1,2,17,High
Ebonyi,1612,2087,4,5,5,13,Low
Cross River,1334,3050,4,1,5,10,Low
Ekiti,10344,1798,3,1,5,15,High
Anambra,12319,2965,2,4,3,16,High
Niger,13532,2933,3,5,2,9,High
Edo,8143,1026,4,5,1,6,Medium
Delta,5344,394,3,4,5,7,Low
Katsina,13171,576,5,5,1,10,High
Cross River,2102,2520,5,4,4,6,Low
Edo,14035,514,3,3,5,13,High
Kogi,9846,1483,2,4,4,8,Medium
Katsina,9443,2056,5,1,2,20,High
Kwara,9457,964,5,2,4,14,High
Cross River,11451,2382,5,5,4,20,High
Adamawa,9556,1021,3,2,4,7,Medium
Bauchi,13229,3007,3,4,4,10,High
Ondo,14602,463,2,3,4,9,High
Kebbi,3631,1250,5,4,2,7,Low
Anambra,3456,986,1,3,2,14,Medium
Imo,10172,1986,4,2,1,5,Medium
Cross River,3235,319,3,5,3,5,Low
Kebbi,14967,372,4,1,1,2,Medium
Ebonyi,10856,1420,1,3,4,2,Medium
Ekiti,14759,3166,2,1,2,18,High
Lagos,9196,694,5,5,5,8,Medium
Imo,2478,1175,5,3,1,10,Medium
Ogun,10573,3219,4,4,2,6,Medium
Bauchi,2750,917,2,4,3,13,Medium
Cross River,10658,429,4,3,5,3,Low
Ebonyi,9941,1935,4,3,2,4,Medium
Edo,8786,3131,3,1,3,20,High
Osun,10925,342,1,3,2,17,High
Ekiti,6067,2817,3,5,1,7,Medium
Ondo,8248,1791,1,3,4,9,Medium
Akwa Ibom,14479,3299,2,2,3,5,High
Oyo,8190,2786,3,1,4,8,Medium
Ondo,2312,3392,4,4,4,10,Low
Kwara,7920,611,2,5,3,2,Low
Edo,7895,2666,5,4,3,0,Low
Nasarawa,1853,2827,2,2,4,0,Low
Ekiti,4278,2773,3,5,3,2,Low
Anambra,3585,1222,5,5,2,13,Medium
Niger,6233,2049,4,3,2,5,Medium
Kogi,10716,1541,3,1,2,13,High
Edo,3980,1811,4,2,5,0,Low
Abia,10150,2850,5,1,2,14,High
Benue,5289,3072,2,4,1,19,High
Enugu,10836,1265,2,3,1,5,Medium
Kano,2922,257,5,4,4,15,Medium
Anambra,4677,3122,2,3,2,9,Medium
Lagos,9096,1764,2,2,4,19,High
Benue,14501,1359,2,2,4,13,High
Niger,3391,317,3,2,3,19,High
Gombe,5068,1714,5,1,4,0,Low
Imo,3182,1524,4,4,2,13,Medium
Lagos,10784,1249,1,5,1,1,Medium
Adamawa,6453,1161,4,5,3,19,High
Kwara,13259,386,1,5,3,19,High
Ekiti,5956,1816,3,5,2,1,Low
Kano,3938,1266,2,4,5,10,Medium
Osun,8669,740,1,5,3,13,High
Bauchi,5266,678,3,2,1,15,High
Ondo,14677,1350,3,3,4,8,High
Katsina,14591,3319,3,3,5,13,High
Osun,3703,1492,4,5,2,20,High
Niger,8208,417,2,1,2,7,Medium
Bayelsa,1587,2126,3,4,2,13,Medium
Anambra,9108,367,4,5,3,15,High
Gombe,9077,660,2,3,1,2,Medium
Benue,5654,939,2,3,5,18,High
Osun,11864,2598,2,1,5,16,High
Nasarawa,10351,939,4,2,1,15,High
Kogi,2545,1546,1,1,3,12,Medium
Edo,10672,634,3,1,2,2,Medium
Gombe,14610,3098,4,3,4,19,High
Kogi,1095,1549,1,4,5,10,Low
Lagos,13031,3464,5,2,2,1,Medium
Niger,11545,1358,3,1,1,17,High
Katsina,7248,579,4,2,3,7,Medium
Nasarawa,7535,565,1,2,2,12,High
Nasarawa,7592,1367,2,3,1,15,High
Niger,8083,3214,3,2,5,11,Medium
Kogi,2574,1705,5,4,2,14,Medium
Osun,7358,2151,3,5,5,13,Medium
Akwa Ibom,13394,1930,3,2,5,13,High
Kebbi,7979,580,1,3,5,14,High
Kogi,4673,2852,2,5,4,20,High
Kebbi,9596,543,3,4,4,2,Low
Oyo,14132,2156,3,2,2,9,High
Ogun,5073,2342,4,5,3,1,Low
Kaduna,2253,384,5,5,1,13,Medium
Enugu,2548,2103,5,3,3,8,Low
Kano,2339,3348,5,1,1,14,Medium
Bayelsa,13880,946,4,1,1,13,High
Osun,12540,1419,3,4,5,14,High
Katsina,14235,1285,3,2,2,5,High
Akwa Ibom,13239,2674,3,4,1,17,High
Abia,1095,1817,1,2,1,20,High
Imo,8539,3033,4,4,5,9,Medium
Katsina,14322,2726,3,3,4,2,Medium
Bauchi,3213,256,2,1,1,6,Medium
Ondo,1439,1057,4,2,2,13,Medium
Ogun,11257,3435,5,1,2,9,High
Nasarawa,8592,806,4,1,4,3,Medium
Bayelsa,3497,3226,4,4,4,0,Low
Ondo,8364,2597,2,3,2,18,High
Ogun,14661,1804,1,1,3,3,High
Kebbi,14887,3120,4,4,4,18,High
Katsina,12977,2470,3,4,1,12,High
Imo,9410,2620,5,2,4,1,Low
Jigawa,1311,1928,5,5,3,2,Low
Cross River,11621,1908,4,4,1,19,High
Kebbi,6681,2036,4,2,1,9,Medium
Lagos,4149,2122,3,2,4,16,Medium
Borno,10628,3005,3,4,5,4,Medium
Osun,5806,3161,4,3,4,15,Medium
Niger,14836,863,5,3,2,2,Medium
Kogi,8911,728,2,2,2,19,High
Imo,2653,3450,4,3,4,7,Low
Benue,10123,392,1,3,3,11,High
Kogi,3598,915,5,1,1,10,Medium
Enugu,2867,2729,2,5,1,7,Low
Imo,5224,1593,3,5,1,8,Medium
Osun,3476,3026,5,1,5,1,Low
Oyo,8173,3472,4,1,1,19,High
Katsina,13814,617,5,5,1,3,Medium
Bayelsa,11320,683,2,2,3,9,High
Kwara,8233,3321,5,1,4,4,Medium
Kebbi,6959,1570,2,2,1,14,High
Enugu,13602,3349,1,4,2,10,High
Delta,9274,901,1,3,3,13,High
Edo,11312,2923,2,5,2,13,High
Niger,4738,765,4,4,4,14,Medium
Ondo,9456,3454,3,4,1,4,Medium
Nasarawa,1162,3139,5,1,1,10,Medium
Ebonyi,7580,3363,2,1,4,12,High
Nasarawa,1607,2904,2,1,5,20,High
Kwara,14091,2904,5,4,3,12,High
Osun,12155,3070,5,3,3,11,High
Abia,14549,1345,5,2,5,12,High
Gombe,11549,1040,5,5,5,20,High
Gombe,12427,1614,4,3,2,2,Medium
Adamawa,9805,1570,4,5,2,17,High
Delta,4501,580,5,3,5,16,Medium
Ebonyi,13403,2803,2,1,1,17,High
Kano,5238,1188,3,5,4,3,Low
Lagos,1982,1727,3,3,5,3,Low
Adamawa,13395,2866,1,3,4,18,High
Lagos,1085,2056,3,5,2,18,Medium
Kwara,11284,2925,5,2,5,11,Medium
Delta,5661,2931,5,4,2,16,Medium
Lagos,5057,631,3,5,5,6,Low
Ogun,13755,1679,4,2,1,13,High
Ogun,7751,535,1,4,1,4,Medium
Imo,4519,2027,1,5,3,12,Medium
Kano,10158,2325,4,5,3,15,High
Kebbi,7937,2002,4,2,4,4,Low
Jigawa,3082,2185,4,5,2,16,Medium
Anambra,12378,1070,4,1,4,5,Medium
Kaduna,7051,686,5,1,4,3,Low
Edo,10367,1386,1,2,5,3,Medium
Edo,5995,1733,3,4,3,0,Low
Niger,3340,782,5,1,4,9,Medium
Osun,5644,1083,2,1,4,3,Low
Kaduna,6712,476,1,4,4,18,High
Delta,10269,2052,3,4,4,19,High
Bauchi,13483,767,5,4,4,14,High
Bauchi,12925,1532,1,5,5,13,High
Ekiti,4814,1819,3,1,5,14,Medium
Lagos,5544,2845,1,1,2,18,High
Kebbi,14044,3360,3,1,5,20,High
Kaduna,2395,988,5,5,5,1,Low
Kano,9548,975,4,1,5,3,Medium
Kogi,9713,936,1,2,3,7,Medium
Ogun,12560,2573,4,5,1,19,High
Ebonyi,7583,2612,1,1,4,10,Medium
Enugu,3957,1899,1,3,5,12,Medium
Cross River,2491,669,1,2,5,9,Medium
Bauchi,3992,1246,1,3,2,13,Medium
Kogi,3772,441,5,2,3,0,Low
Kwara,1958,1420,4,3,1,4,Low
Enugu,6311,1256,4,1,1,6,Medium
Borno,13322,2645,5,4,2,16,High
Nasarawa,9264,1777,1,1,3,10,High
Gombe,10062,1867,1,1,4,13,High
Kebbi,4829,276,3,5,5,3,Low
Borno,13500,2472,2,5,3,13,High
Gombe,2374,2804,5,2,2,11,Medium
Kaduna,3755,3403,2,4,5,17,Medium
Gombe,1684,204,4,3,5,20,Medium
Bayelsa,1008,446,4,5,3,8,Low
Ogun,12141,1757,3,5,2,16,High
Delta,1745,861,5,1,5,9,Low
Akwa Ibom,7476,3060,1,5,2,8,Medium
Osun,8077,1063,5,3,5,10,Medium
Kebbi,5282,3283,4,2,3,10,Medium
Ebonyi,4450,2083,5,1,3,4,Low
Kebbi,1033,2693,4,1,1,5,Low
Enugu,10106,3052,4,5,4,2,Low
Niger,11634,2867,1,1,5,14,High
Kogi,3022,1645,4,3,5,12,Medium
Bayelsa,14748,3345,1,4,1,11,High
Oyo,4161,2020,1,1,2,8,Medium
Kogi,12619,1665,2,5,1,20,High
Delta,14245,3140,2,4,2,11,High
Adamawa,5599,2218,5,1,2,6,Medium
Ogun,11460,1822,1,5,3,16,High
Imo,3793,2460,2,5,5,18,Medium
Bayelsa,2070,2609,2,2,1,8,Medium
Oyo,10337,1133,5,2,3,0,Low
Kwara,12104,2382,5,5,3,14,High
Abia,7997,2825,1,4,3,13,High
Cross River,2994,2985,5,4,4,11,Low
Jigawa,13435,378,2,3,1,13,High
Kaduna,8354,1495,1,2,4,10,Medium
Akwa Ibom,10368,303,2,1,4,7,Medium
Benue,3694,1548,3,1,1,0,Low
Imo,8077,298,5,3,3,7,Medium
Anambra,8759,1176,3,3,1,16,High
Niger,4878,498,5,4,5,3,Low
Kebbi,8314,2571,1,1,1,1,Medium
Ekiti,6132,3040,1,1,2,14,High
Adamawa,5939,2701,4,1,1,1,Low
Kaduna,1855,1407,4,1,4,19,Medium
Nasarawa,7735,1154,5,1,5,14,Medium
Ekiti,8605,3456,4,5,5,3,Low
Ebonyi,11664,2967,1,5,4,10,Medium
Kano,4153,642,1,5,1,2,Low
Kano,13933,993,5,5,2,8,Medium
Edo,7897,2171,5,2,4,7,Medium
Bauchi,14058,380,1,3,2,18,High
Enugu,9407,2869,3,5,3,17,High
Nasarawa,3385,803,4,5,3,10,Low
Delta,7042,233,5,2,5,1,Low
Borno,9308,2491,1,3,4,6,Medium
Benue,11494,1024,1,2,3,15,High
Kwara,12335,2114,5,5,3,18,High
Ebonyi,11094,1427,4,2,3,3,Medium
Gombe,13930,372,4,1,2,20,High
Borno,12357,1143,4,2,5,7,Medium
Imo,13035,3347,3,2,4,12,High
Bayelsa,14534,227,3,1,1,11,High
Abia,10088,671,2,4,3,6,Medium
Kebbi,10595,3335,3,1,1,6,Medium
Benue,5654,913,2,2,3,10,Medium
Ondo,10085,1207,2,1,2,5,Medium
Ogun,5289,614,1,4,2,20,High
Niger,2818,1586,2,4,3,7,Low
Edo,14262,1725,2,5,5,13,High
Osun,12648,467,1,2,2,6,High
Benue,9725,1749,3,5,3,13,Medium
Kebbi,5006,389,5,2,5,17,Medium
Delta,13936,808,3,1,2,20,High
Niger,5588,717,5,4,5,6,Low
Lagos,2333,3413,4,1,5,5,Low
Jigawa,7358,3277,5,4,3,16,Medium
Gombe,3932,1518,3,4,5,15,Medium
Imo,5396,2580,4,1,5,6,Low
Borno,4325,2051,2,2,4,9,Medium
Enugu,7178,2540,2,3,3,17,High
Akwa Ibom,3200,3278,1,4,3,16,Medium
Edo,4771,2591,1,5,4,19,High
Ebonyi,7981,2047,4,4,4,11,Medium
Niger,9151,1498,3,1,4,5,Medium
Gombe,4830,1287,1,1,3,9,Medium
Ogun,9220,2300,5,3,1,7,Medium
Anambra,2942,492,3,5,1,6,Low
Ebonyi,4221,2965,3,3,3,8,Medium
Benue,12561,2674,2,3,5,0,Medium
Nasarawa,5906,1354,3,4,4,18,High
Nasarawa,11736,248,4,2,5,12,High
Borno,4717,3162,2,2,4,16,High
Kano,13877,2463,4,3,4,2,Medium
Ebonyi,14857,969,4,2,4,14,High
Gombe,14974,2487,1,2,3,18,High
Ondo,3102,1451,1,3,4,10,Medium
Borno,7867,1943,4,3,5,10,Medium
Kano,1380,2524,1,2,2,10,Medium
Kano,11319,3473,5,5,5,12,Medium
Ekiti,4345,1800,1,4,5,6,Low
Imo,2779,1546,5,3,4,2,Low
Bayelsa,2709,2964,5,1,2,19,High
Imo,1439,964,2,4,1,9,Medium
Benue,4818,1392,5,4,1,1,Low
Edo,9495,245,2,4,3,12,High
Bayelsa,2814,728,5,4,4,2,Low
Ekiti,4382,732,2,4,3,15,Medium
Bayelsa,10891,2555,3,2,5,16,High
Kwara,12220,2079,3,1,2,4,Medium
Gombe,2048,1835,5,5,2,10,Low
Oyo,10326,2210,4,5,4,1,Low
Lagos,2492,1379,4,3,3,12,Medium
Katsina,14491,917,4,2,2,19,High
Lagos,8079,2075,4,5,2,3,Low
Ekiti,12446,378,2,3,2,20,High
Kaduna,5782,2930,1,4,2,13,Medium
Nasarawa,10057,696,3,1,1,16,High
Nasarawa,13771,1535,4,2,4,8,Medium
Benue,9291,382,4,1,1,20,High
Kwara,12069,3270,4,3,4,12,High
Ondo,4185,1824,1,3,1,3,Medium
Kwara,3236,1539,4,4,4,2,Low
Akwa Ibom,9985,2891,2,2,4,15,High
Ogun,5573,860,2,5,1,3,Low
Bayelsa,5819,708,5,2,4,2,Low
Kogi,13510,245,3,4,2,11,High
Bayelsa,4549,3126,1,2,5,14,Medium
Kwara,1782,2800,5,4,1,9,Low
Gombe,1858,2650,1,4,1,6,Low
Oyo,5091,1734,2,1,2,0,Low
Enugu,1457,259,3,1,2,7,Medium
Osun,2582,3464,2,1,2,13,Medium
Jigawa,2764,1539,3,2,5,19,Medium
Benue,9875,1818,4,2,1,6,Medium
Anambra,6842,1524,2,4,1,20,High
Ebonyi,1196,1794,2,2,4,2,Low
Kogi,14354,1340,5,1,3,2,Medium
Osun,4580,1883,3,4,5,3,Low
Kwara,9784,3441,5,3,2,3,Medium
Katsina,6314,2784,4,3,2,5,Medium
Kebbi,13479,3016,3,1,4,10,High
Abia,10970,2596,4,5,4,20,High
Lagos,4808,2262,5,2,1,0,Low
Katsina,13434,708,3,4,2,7,Medium
Katsina,2300,445,2,4,3,9,Medium
Benue,3484,1739,2,2,1,19,High
Gombe,13111,1546,2,3,3,20,High
Niger,13459,362,5,3,4,0,Low
Borno,14876,3201,3,2,3,6,High
Kaduna,1885,2923,2,5,2,12,Medium
Jigawa,6269,951,4,1,1,15,High
Akwa Ibom,4153,413,2,2,2,2,Low
Bayelsa,10709,2448,2,5,2,2,Medium
Enugu,12878,2113,3,2,2,7,High
Enugu,3890,2681,2,3,3,18,High
Gombe,11413,1024,3,1,4,11,High
Ekiti,7188,887,4,4,4,16,Medium
Katsina,13041,1975,2,1,4,12,High
Enugu,14992,540,3,5,5,4,Medium
Kaduna,12905,919,3,4,4,9,Medium
Gombe,5640,1736,5,4,5,2,Low
Ebonyi,3238,3128,4,2,2,6,Low
Abia,1210,2250,3,4,4,13,Medium
Ekiti,13160,1728,4,3,4,20,High
Kano,2167,1874,1,4,1,18,High
Bayelsa,4182,3325,4,3,3,16,Medium
Kwara,9005,2800,3,4,1,13,High
Lagos,5043,1192,4,3,1,20,High
Kwara,12082,315,2,5,3,14,High
Kogi,3414,1241,2,5,5,5,Low
Abia,2912,3357,1,4,4,18,Medium
Osun,2316,2323,2,2,4,13,Medium
Cross River,12335,1437,5,4,5,18,High
Delta,13024,1885,1,5,1,11,High
Ogun,3338,1301,2,3,4,0,Low
Bayelsa,14375,2214,1,1,1,13,High
Jigawa,7829,2880,3,2,4,5,Medium
Edo,4053,3083,2,4,2,5,Low
Jigawa,2806,2045,5,2,2,6,Low
Adamawa,13286,948,2,4,3,14,High
Kebbi,11230,647,2,3,1,2,Medium
Ekiti,3042,1333,1,1,3,18,High
Borno,8829,2187,1,1,1,8,High
Nasarawa,1118,2925,5,1,1,6,Low
Jigawa,13972,229,4,5,5,8,Medium
Oyo,8961,2138,3,4,5,10,Medium
Edo,12171,1605,3,3,2,12,High
Ekiti,11007,434,3,1,3,0,Medium
Gombe,12441,1845,2,5,1,3,Medium
Ondo,9693,1344,2,4,3,19,High
Kogi,11795,2146,5,2,4,0,Low
Kebbi,14313,1519,1,1,3,10,High
Kogi,8279,1156,5,4,4,19,High
Niger,2333,1626,4,1,4,12,Medium
Delta,10947,999,2,5,5,16,High
Adamawa,3094,2239,1,5,3,14,Medium
Bayelsa,8311,673,4,2,5,7,Medium
Benue,3792,3285,1,4,1,0,Low
Bayelsa,6349,1770,3,3,2,15,High
Osun,11987,704,2,4,5,2,Medium
Niger,12334,1563,2,5,5,2,Medium
Kebbi,6623,1744,4,4,5,7,Low
Borno,5244,673,3,1,1,2,Medium
Ebonyi,13133,2625,2,5,1,11,High
Bauchi,14980,1483,4,1,5,9,High
Adamawa,10667,2393,2,4,4,10,Medium
Nasarawa,6980,3466,2,5,5,18,High
Borno,2746,1819,1,4,5,10,Medium
Bauchi,14371,1415,2,4,4,4,Medium
Katsina,5643,797,1,3,5,9,Medium
Jigawa,12282,705,3,4,5,20,High
Ogun,4534,2227,3,1,4,10,Medium
Bauchi,14564,3135,2,1,2,5,High
Ondo,8987,3179,4,2,3,0,Low
Kaduna,7427,1582,4,3,4,12,Medium
Ekiti,2176,2362,3,2,3,17,Medium
Ekiti,2594,736,3,1,5,9,Medium
Gombe,11725,870,5,4,2,15,High
Delta,3372,1059,2,1,2,11,Medium
Lagos,10431,617,2,4,4,5,Medium
Oyo,1922,593,3,2,4,1,Low
Anambra,9444,2862,3,4,5,4,Low
Kebbi,12838,1854,2,1,1,7,High
Ekiti,9005,1439,5,4,2,2,Low
Nasarawa,8596,2863,4,4,3,11,Medium
Abia,2966,677,1,4,1,20,High
Kogi,9351,1121,1,5,5,18,High
Imo,5484,3041,1,2,5,12,Medium
Imo,11561,3078,4,5,3,4,Medium
Anambra,6328,460,5,4,2,0,Low
Ekiti,10110,2397,5,1,4,16,High
Ogun,10580,2407,1,1,2,5,Medium
Ondo,10815,3047,2,5,1,14,High
Niger,6149,703,1,5,2,6,Medium
Kebbi,3641,559,5,1,3,2,Low
Anambra,9292,1422,3,2,5,13,High
Kogi,1001,1217,3,5,1,9,Low
Kogi,9750,2022,2,4,5,10,Medium
Jigawa,6769,2682,5,2,5,3,Low
Kogi,14431,383,2,2,1,4,High
Delta,14641,1081,2,5,5,6,Medium
Kano,6882,1336,2,4,5,2,Low
Kaduna,5177,1267,4,4,2,14,Medium
Akwa Ibom,5164,2971,4,5,2,6,Low
Akwa Ibom,11314,3201,3,3,2,18,High
Kogi,11613,2294,5,4,2,4,Medium
Ebonyi,13907,1976,4,5,1,7,Medium
Akwa Ibom,5425,710,5,5,1,13,Medium
Akwa Ibom,6396,2822,1,3,3,8,Medium
Bauchi,14076,1124,3,1,1,12,High
Borno,7203,630,1,5,2,9,Medium
Kano,14456,2205,1,3,5,18,High
Ondo,5620,2459,3,1,5,1,Low
Bayelsa,6210,3279,4,3,2,17,High
Kaduna,10742,1849,4,2,5,8,Medium
Abia,12250,2303,2,2,2,12,High
Kano,13049,1295,1,2,3,19,High
Enugu,12579,2075,2,3,4,14,High
Jigawa,5699,1329,4,2,5,9,Medium
Kebbi,2424,1451,4,1,3,20,High
Akwa Ibom,2256,3189,2,2,1,18,High
Adamawa,2385,3245,3,4,5,0,Low
Enugu,12092,2283,2,4,4,16,High
Kogi,12088,2380,1,1,4,19,High
Benue,14621,3255,1,5,4,11,High
Borno,13107,2908,5,1,5,19,High
Gombe,3761,2962,5,2,2,2,Low
Edo,14752,746,5,1,3,13,High
Imo,7211,898,3,3,1,7,Medium
Ogun,9832,3339,1,3,3,15,High
Delta,5337,1072,1,4,5,6,Low
Oyo,5994,2833,5,4,1,19,High
Ondo,8999,435,3,5,1,14,High
Ebonyi,5888,1649,1,3,1,5,Medium
Ekiti,6808,236,1,4,4,6,Medium
Akwa Ibom,9668,2306,2,1,4,15,High
Abia,3549,3351,3,4,2,12,Medium
Edo,5903,1692,4,5,2,8,Medium
Anambra,8185,2888,4,2,2,11,Medium
Lagos,8110,223,3,1,2,6,Medium
Delta,1659,747,4,3,4,1,Low
Bayelsa,11915,1015,4,1,3,13,High
Imo,10013,2229,2,4,3,16,High
Lagos,13155,1792,2,1,1,0,Medium
Bauchi,3548,1609,5,2,1,1,Low
Kogi,14596,1601,4,1,5,13,High
Imo,5742,1355,4,4,1,7,Medium
Katsina,3498,3187,5,2,2,8,Medium
Nasarawa,2884,1279,2,2,4,15,Medium
Kwara,13824,622,5,2,5,6,Medium
Ondo,10686,2776,2,1,2,4,Medium
Ekiti,1628,1321,2,4,2,0,Low
Katsina,4270,572,1,4,4,16,Medium
Delta,12471,2794,2,3,2,13,High
Imo,2005,2288,4,3,1,3,Low
Cross River,6956,1349,3,2,4,10,Medium
Osun,1779,944,1,1,1,10,Medium
Benue,5674,2133,3,1,5,13,Medium
Bayelsa,5133,2212,3,3,3,3,Low
Anambra,11960,255,5,3,2,11,High
Lagos,14271,1680,5,5,5,11,Medium
Borno,11653,1330,2,4,5,2,Medium
Osun,2742,734,5,1,1,18,High
Oyo,11720,980,2,1,4,2,Medium
Kaduna,11141,1604,3,2,4,17,High
Lagos,3517,379,2,4,2,17,High
Kwara,5137,3310,5,3,3,14,Medium
Kebbi,12752,680,4,4,1,13,High
Jigawa,9255,3439,1,5,2,8,Medium
Kwara,3112,1386,1,1,5,6,Medium
Lagos,14345,1828,4,5,5,2,Medium
Bayelsa,8172,3274,5,5,4,12,Medium
Ekiti,10948,1312,2,1,2,5,Medium
Kano,4568,2625,1,4,5,16,Medium
Kwara,12805,2350,3,2,3,9,High
Kwara,5399,2461,1,2,2,1,Low
Kaduna,4902,1395,1,3,2,4,Medium
Cross River,13953,411,2,5,2,3,Medium
Abia,11627,1623,5,3,3,2,Medium
Kwara,9999,1281,2,5,4,9,Medium
Ebonyi,1938,2763,1,2,3,8,Medium
Bayelsa,5194,264,5,1,5,12,Medium
Kebbi,5216,2765,5,2,5,14,Medium
Borno,6312,1300,2,4,5,4,Low
Gombe,4796,3189,4,2,3,15,Medium
Akwa Ibom,9125,943,4,2,2,6,Medium
Kano,9036,3187,2,1,3,9,High
Bayelsa,3911,1814,5,1,2,4,Low
Akwa Ibom,7986,1204,4,1,4,16,High
Bauchi,12907,3273,1,1,5,12,High
Ekiti,1339,650,1,2,1,7,Medium
Nasarawa,2369,1296,2,1,5,0,Low
Niger,2742,2421,3,2,1,4,Low
Imo,13446,2505,4,3,2,10,High
Imo,3531,1198,1,3,5,20,High
Kaduna,3016,286,1,5,1,9,Medium
Anambra,9381,1901,2,2,1,0,Medium
Borno,7998,1778,2,3,3,7,Medium
Oyo,12213,1775,1,2,4,3,Medium
Borno,2666,1354,3,5,1,10,Medium
Anambra,6906,547,1,2,5,5,Medium
Enugu,9691,1571,5,4,2,4,Medium
Osun,11932,3014,3,3,5,11,Medium
Osun,2702,1310,4,3,3,2,Low
Niger,1035,808,2,2,3,12,Medium
Gombe,12818,3463,4,1,1,18,High
Enugu,12906,1340,2,3,1,4,Medium
Bayelsa,13575,1777,3,4,3,13,High
Imo,12361,1895,5,2,3,20,High
Oyo,5028,1769,4,4,5,17,Medium
Kaduna,9070,2381,5,4,2,2,Low
Kano,12713,1927,5,2,5,2,Medium
Borno,6926,211,2,3,1,17,High
Imo,3188,651,1,3,3,4,Low
Delta,8543,790,5,2,4,6,Medium
Ogun,4679,428,2,2,1,12,Medium
Lagos,1431,3051,4,1,3,3,Low
Kogi,10529,502,4,2,5,0,Low
Bauchi,6984,778,1,1,2,0,Medium
Kano,14616,1905,2,4,2,4,Medium
Lagos,9641,3061,3,4,4,10,Medium
Gombe,13802,2841,1,1,3,4,High
Adamawa,11525,331,5,5,2,5,Medium
Abia,7494,1935,4,3,5,18,High
Jigawa,6014,3105,2,2,4,8,Medium
Akwa Ibom,9544,1746,2,4,2,19,High
Adamawa,4586,1806,2,5,5,2,Low
Ogun,12344,2118,4,4,3,12,High
Bayelsa,1895,3490,3,2,4,8,Low
Anambra,2710,518,3,3,5,0,Low
Borno,5623,866,5,1,1,6,Medium
Katsina,1179,3298,3,5,2,6,Low
Kebbi,1530,1184,3,5,1,18,Medium
Adamawa,10236,3436,4,1,1,10,High
Akwa Ibom,6056,234,3,4,3,16,High
Benue,6152,3279,4,2,3,3,Low
Ebonyi,7672,3236,5,5,1,4,Low
Abia,10620,3460,4,5,4,1,Low
Delta,3641,820,4,1,1,7,Medium
Osun,4533,2991,2,5,2,16,Medium
Lagos,10973,2868,5,4,3,4,Medium
Ebonyi,5765,1675,5,1,4,12,Medium
Borno,4421,2700,5,2,1,18,High
Kebbi,9151,598,1,3,2,17,High
Ondo,14064,3400,1,1,4,14,High
Ebonyi,3780,1410,2,3,1,18,High
Edo,6789,565,1,4,2,8,Medium
Imo,5194,3325,4,1,2,18,High
Imo,1648,1688,3,4,4,19,Medium
Oyo,12150,728,4,5,3,19,High
Ebonyi,7122,541,4,4,5,8,Medium
Osun,12182,374,5,2,1,17,High
Abia,3532,631,3,2,4,18,High
Ekiti,14989,498,2,4,4,2,Medium
Edo,8632,2118,5,1,4,2,Low
Bayelsa,12989,643,4,2,4,12,High
Ebonyi,2056,1499,3,4,5,6,Low
Kwara,13145,2150,1,4,3,1,Medium
Kaduna,3551,2124,2,3,2,18,High
Adamawa,10848,3371,4,3,1,13,High
Imo,4496,421,2,4,1,8,Medium
Cross River,11415,921,1,1,2,8,High
Ekiti,2338,1421,4,5,4,6,Low
Kogi,5250,953,1,4,1,10,Medium
Nasarawa,5864,873,2,4,3,15,Medium
Imo,9773,3021,2,3,4,18,High
Ekiti,14484,240,5,2,5,2,Medium
Lagos,11943,2569,5,3,2,10,Medium
Abia,3465,2078,2,3,4,3,Low
Niger,12041,1864,3,1,5,14,High
Ogun,3059,2798,4,1,5,1,Low
Benue,13217,968,4,2,5,19,High
Ekiti,4541,1625,2,5,2,0,Low
Edo,14332,1690,1,3,3,16,High
Ogun,3043,3064,4,4,4,13,Medium
Edo,6770,2421,4,3,5,3,Low
Oyo,3880,2079,4,2,3,17,Medium
Katsina,3664,2423,4,3,4,13,Medium
Kebbi,5640,3075,5,1,1,3,Low
Akwa Ibom,11643,267,5,1,4,15,High
Lagos,13316,2755,5,4,1,16,High
Kano,14203,333,3,2,4,7,High
Nasarawa,8448,2459,4,2,1,15,High
Anambra,6744,3451,4,4,4,0,Low
Edo,13815,1117,5,3,3,8,Medium
Delta,14737,3456,4,1,2,13,High
Adamawa,1254,307,2,5,3,19,Medium
Ebonyi,6490,898,5,2,4,17,High
Ekiti,4156,2724,4,5,1,13,Medium
Bauchi,11424,1799,2,3,4,16,High
Bayelsa,8166,1146,1,5,2,3,Medium
Kebbi,10452,3412,4,5,3,5,Medium
Ebonyi,4338,581,1,4,1,0,Low
